Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
112,112,112. left_posterior_subtemporal_grid 7,186.55,71.57,101.26,-59.91,-64.36,-21.01,-53.31,-74.63,-5.99,184.96,70.24,100.65
113,113,113. left_posterior_subtemporal_grid 8,189.11,77.15,107,-62.47,-58.79,-15.27,-56.67,-68.58,-1.17,187.89,75.52,106.55
114,114,114. left_posterior_subtemporal_grid 9,173.2,86.35,90.89,-46.56,-49.59,-31.38,-40.75,-61.35,-19.28,170.46,85.83,90.54
115,115,115. left_posterior_subtemporal_grid 10,180.31,82.09,91.09,-53.67,-53.84,-31.18,-47.5,-66.01,-18.44,177.96,81.17,90.58
116,116,116. left_posterior_subtemporal_grid 11,187.84,80.44,94.66,-61.2,-55.5,-27.61,-55.08,-67.65,-14.61,186.05,79.14,94.18
117,117,117. left_posterior_subtemporal_grid 12,190.42,84.63,100.77,-63.78,-51.31,-21.5,-58.36,-62.83,-9.14,189.14,83.07,100.4
118,118,118. left_temporal_pole_grid 1,159.55,160.48,79.55,-32.91,24.55,-42.72,-33.29,7.6,-45.08,159.15,160.37,80.81
119,119,119. left_temporal_pole_grid 2,167.77,162.08,81.09,-41.13,26.15,-41.17,-41.76,8.59,-44.01,167.6,161.6,82.59
120,120,120. left_temporal_pole_grid 3,174.39,160.07,87.17,-47.75,24.13,-35.1,-48.52,7.17,-37.48,174.61,158.97,88.7
121,121,121. left_temporal_pole_grid 4,180.09,157.04,94.22,-53.45,21.11,-28.04,-54.31,5.07,-29.71,180.9,155.37,95.74
122,122,122. left_temporal_pole_grid 5,183.76,152.02,102.79,-57.12,16.08,-19.48,-57.95,1.57,-19.92,185.39,150,104.31
123,123,123. left_temporal_pole_grid 6,151.53,168.49,85.7,-24.88,32.55,-36.57,-26.28,17.06,-40.01,151.16,168.43,86.57
124,124,124. left_temporal_pole_grid 7,159.62,170.37,85.52,-32.98,34.44,-36.75,-34.57,18,-40.79,159.39,170.09,86.82
125,125,125. left_temporal_pole_grid 8,167.15,169.59,87.21,-40.5,33.66,-35.06,-42.13,16.84,-39.09,167.09,168.85,88.72
126,126,126. left_temporal_pole_grid 9,172.68,168.4,92.55,-46.04,32.46,-29.72,-47.84,16.17,-33.45,172.86,166.89,94.05
127,127,127. left_temporal_pole_grid 10,177.89,164.83,100.92,-51.25,28.9,-21.35,-53.15,13.85,-24.19,178.52,162.38,102.28
128,128,128. left_temporal_pole_grid 11,181.79,159.38,108.98,-55.15,23.45,-13.29,-56.97,9.84,-14.85,183.04,156.48,110.28
129,129,129. left_temporal_grid 1,186.76,86.5,150.85,-60.12,-49.44,28.58,-57.35,-51.43,42.74,186.3,82.25,150.72
130,130,130. left_temporal_grid 2,189.87,93.96,146.82,-63.23,-41.98,24.56,-60.96,-45.46,37.01,190.63,90.66,146.83
131,131,131. left_temporal_grid 3,191.84,102.44,143.32,-65.2,-33.5,21.06,-63.54,-38.33,31.67,193.23,99.47,143.56
132,132,132. left_temporal_grid 4,192.38,110.46,137.97,-65.74,-25.47,15.7,-64.55,-31.83,24.52,194.34,107.93,138.46
133,133,133. left_temporal_grid 5,191.56,118.44,132.71,-64.92,-17.49,10.44,-64.2,-25.22,17.52,194.04,116.34,133.48
134,134,134. left_temporal_grid 6,190.35,126.22,126.88,-63.7,-9.72,4.61,-63.4,-18.87,9.98,193.32,124.46,128.02
135,135,135. left_temporal_grid 7,188.55,134.31,120.64,-61.91,-1.63,-1.63,-62.03,-12.24,1.96,191.9,132.7,122.21
136,136,136. left_temporal_grid 8,186.23,142.43,114.24,-59.59,6.5,-8.02,-60.13,-5.56,-6.21,189.2,140.59,115.92
137,137,137. left_temporal_grid 9,186.95,80.79,142.43,-60.3,-55.15,20.17,-56.6,-58.37,35.08,186.54,77.57,142.26
138,138,138. left_temporal_grid 10,191.93,88.35,137.75,-65.29,-47.58,15.49,-62.06,-52.62,28.6,192.48,85.52,137.78
139,139,139. left_temporal_grid 11,194.14,96.47,134.34,-67.5,-39.47,12.08,-64.85,-45.84,23.41,195.39,93.92,134.6
140,140,140. left_temporal_grid 12,195.3,104.9,128.94,-68.66,-31.03,6.67,-66.51,-39.02,16.12,197.11,102.69,129.48
141,141,141. left_temporal_grid 13,194.84,113.49,124.28,-68.2,-22.44,2.02,-66.62,-31.76,9.62,197.2,111.63,125.14
142,142,142. left_temporal_grid 14,193.66,120.91,118.83,-67.02,-15.03,-3.44,-65.83,-25.68,2.53,196.46,119.38,120.05
143,143,143. left_temporal_grid 15,192.22,128.78,112.95,-65.58,-7.15,-9.31,-64.82,-19.22,-5.07,195.36,127.49,114.57
144,144,144. left_temporal_grid 16,189.96,136.06,106.89,-63.32,0.13,-15.37,-62.92,-13.28,-12.73,192.85,134.76,108.64
145,145,145. left_temporal_grid 17,186.54,76.51,135.46,-59.9,-59.42,13.19,-55.45,-63.65,28.66,185.93,73.86,135.23
146,146,146. left_temporal_grid 18,192.62,83.84,131.25,-65.98,-52.1,8.98,-62.01,-58.14,22.68,192.79,81.26,131.22
147,147,147. left_temporal_grid 19,194.77,91.18,127.77,-68.12,-44.75,5.5,-64.67,-52.08,17.57,195.56,88.81,127.94
