Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
28,28,28: Right parahippocampal gyrus strip  6,103.42,152.66,98.65,22.15,13.32,-57.1,25.17,4.38,-44.41,104.22,152.27,98.63
29,29,29: Right parahippocampal gyrus strip  7,100.9,164.3,98.34,24.67,24.97,-57.4,28.77,15.68,-45.9,101.76,163.49,98.48
30,30,30: Right parahippocampal gyrus strip  8,95.27,173.48,103.74,30.3,34.14,-52,35.91,24.66,-41.5,96.61,172.07,104.3
31,31,31: Right parahippocampal gyrus strip  9,88.06,173.13,113.08,37.51,33.8,-42.66,44.15,24.31,-32.39,90.03,171.47,114.14
32,32,32: Right parahippocampal gyrus strip  10,83.09,170.33,120.46,42.48,31,-35.29,49.69,21.58,-24.92,85.57,168.71,121.89
33,33,33: Left amygdala depth  1,134.04,136.48,114.69,-8.47,-2.86,-41.06,-4.94,-7,-22.18,134.45,136.13,114.65
34,34,34: Left amygdala depth  2,138.97,135.42,113.29,-13.4,-3.91,-42.46,-10.11,-7.62,-22.98,139.1,135.3,113.28
35,35,35: Left amygdala depth  3,143.81,135.36,112.47,-18.23,-3.98,-43.28,-15.02,-7.22,-23.24,143.85,135.3,112.41
36,36,36: Left amygdala depth  4,148.6,135.34,111.67,-23.03,-3.99,-44.08,-19.88,-6.76,-23.49,148.61,135.3,111.57
37,37,37: Left amygdala depth  5,153.74,134.7,110.26,-28.17,-4.63,-45.49,-25.21,-6.95,-24.3,153.64,134.68,110.15
38,38,38: Left amygdala depth  6,158.33,133.7,109.67,-32.76,-5.64,-46.07,-29.94,-7.49,-24.27,158.11,133.68,109.61
39,39,39: Left amygdala depth  7,162.55,133.68,107.98,-36.98,-5.66,-47.77,-34.34,-7.18,-25.55,162.31,133.68,107.94
40,40,40: Left amygdala depth  8,167.09,132.79,106.4,-41.52,-6.54,-49.34,-39.13,-7.69,-26.59,166.78,132.8,106.4
41,41,41: Right posterior insula depth  1,115,114.72,137.78,10.57,-24.61,-17.96,14.6,-28.87,1.72,116.3,114.18,137.58
42,42,42: Right posterior insula depth  2,110.6,115.32,139.28,14.97,-24.02,-16.46,19.2,-28.64,2.72,111.98,114.68,139.21
43,43,43: Right posterior insula depth  3,105.28,115.74,140.4,20.29,-23.59,-15.34,24.67,-28.72,3.22,106.66,114.99,140.46
44,44,44: Right posterior insula depth  4,101.02,116.45,141.84,24.55,-22.89,-13.91,29.14,-28.37,4.16,102.47,115.61,142.03
45,45,45: Right posterior insula depth  5,96.22,116.48,143.13,29.36,-22.86,-12.61,34.07,-28.76,4.94,97.72,115.61,143.45
46,46,46: Right posterior insula depth  6,91.64,116.71,144.08,33.93,-22.62,-11.66,38.76,-28.96,5.36,93.24,115.93,144.53
47,47,47: Right posterior insula depth  7,87.25,117.12,144.87,38.32,-22.21,-10.87,43.25,-28.97,5.62,89.05,116.55,145.46
48,48,48: Right posterior insula depth  8,81.78,116.35,146.7,43.79,-22.98,-9.05,48.83,-30.19,6.93,84,116.18,147.47
49,49,49: Right posterior insula depth  9,76.42,116.52,148.52,49.15,-22.81,-7.22,54.39,-30.47,8.2,79.08,116.75,149.54
50,50,50: Right posterior insula depth  10,71.85,117.2,150.29,53.72,-22.14,-5.45,59.21,-30.15,9.47,74.88,117.71,151.55
51,51,51: Right posterior insula depth  11,67.05,118.39,152.36,58.52,-20.94,-3.38,64.34,-29.32,10.98,70.42,119.13,153.87
52,52,52: Right posterior insula depth  12,62.69,119.03,154.82,62.88,-20.31,-0.92,69.03,-28.97,13.02,66.35,119.87,156.56
53,53,53: Right orbitofrontal depth  1,127.5,155.6,114.81,-1.93,16.26,-40.93,3.45,11.35,-24.27,129,154.85,114.12
54,54,54: Right orbitofrontal depth  2,122.59,156.49,116.61,2.98,17.15,-39.14,8.62,11.85,-23.03,124.41,155.58,116.05
55,55,55: Right orbitofrontal depth  3,118.4,157.24,118.09,7.17,17.9,-37.65,13.04,12.25,-22.03,120.46,156.22,117.72
56,56,56: Right orbitofrontal depth  4,113.99,158.43,119.94,11.59,19.1,-35.81,17.76,13.11,-20.7,116.29,157.24,119.79
57,57,57: Right orbitofrontal depth  5,110.09,160.08,121.98,15.48,20.75,-33.76,22.04,14.49,-19.12,112.63,158.68,122.09
58,58,58: Right orbitofrontal depth  6,105.34,161.77,124.21,20.23,22.43,-31.53,27.19,15.83,-17.45,108.11,160.16,124.66
59,59,59: Right orbitofrontal depth  7,100.54,162.09,126.99,25.03,22.76,-28.76,32.32,15.86,-15.12,103.5,160.38,127.77
60,60,60: Right orbitofrontal depth  8,96.24,164.05,128.9,29.33,24.71,-26.84,37.01,17.49,-13.76,99.41,162.21,130.01
61,61,61: Right orbitofrontal depth  9,92.28,165.83,130.67,33.29,26.5,-25.08,41.34,18.98,-12.5,95.62,163.92,132.06
62,62,62: Right orbitofrontal depth  10,88.29,167.14,133.11,37.28,27.8,-22.64,45.72,20.04,-10.48,91.84,165.2,134.77
63,63,63: Right orbitofrontal depth  11,84.46,170.22,135.13,41.11,30.88,-20.61,50.06,22.86,-9.02,88.22,168.13,137.07
64,64,64: Right orbitofrontal depth  12,80.79,171.63,137.16,44.78,32.29,-18.59,54.09,24.03,-7.43,84.67,169.53,139.3
65,65,65: Right anterior subtemporal grid 1:12 of  1,94.1,133.6,104.11,31.47,-5.73,-51.63,33.21,-15.21,-38.36,94.92,133.67,104.15
66,66,66: Right anterior subtemporal grid 1:12 of  2,83.7,133.18,104.8,41.87,-6.16,-50.94,43.58,-16.73,-38.9,84.68,133.34,105.24
67,67,67: Right anterior subtemporal grid 1:12 of  3,75.3,132.9,105.77,50.27,-6.43,-49.98,52.02,-17.86,-38.91,76.37,133.14,106.58
68,68,68: Right anterior subtemporal grid 1:12 of  4,66.73,133.05,104.56,58.84,-6.28,-51.19,60.41,-18.77,-41.31,67.9,133.38,105.68
69,69,69: Right anterior subtemporal grid 1:12 of  5,88.87,147.28,93.41,36.7,7.95,-62.33,38.48,-3.05,-51.46,89.97,147.25,93.87
70,70,70: Right anterior subtemporal grid 1:12 of  6,80.05,145.51,96.16,45.52,6.17,-59.58,47.39,-5.57,-49.51,81.23,145.5,96.9
71,71,71: Right anterior subtemporal grid 1:12 of  7,72.37,143.35,101.83,53.2,4.01,-53.92,55.49,-8.1,-44.26,73.64,143.39,102.89
72,72,72: Right anterior subtemporal grid 1:12 of  8,66.24,141.56,105.56,59.34,2.22,-50.18,61.85,-10.25,-40.91,67.61,141.7,106.89
73,73,73: Right anterior subtemporal grid 1:12 of  9,89.16,153.8,96.93,36.41,14.47,-58.82,39.24,3.79,-48.14,90.09,153.53,97.41
74,74,74: Right anterior subtemporal grid 1:12 of  10,80.64,153.57,98.8,44.94,14.24,-56.95,47.91,2.76,-47.2,81.74,153.29,99.61
75,75,75: Right anterior subtemporal grid 1:12 of  11,72.37,151.66,105.55,53.2,12.33,-50.19,56.75,0.51,-40.88,73.79,151.42,106.79
76,76,76: Right anterior subtemporal grid 1:12 of  12,67.19,148.92,111.4,58.39,9.58,-44.34,62.32,-2.32,-35.07,68.79,148.83,112.96
77,77,77: Right temporal pole grid 13:23 of  1,90.08,161.85,97.85,35.49,22.51,-57.89,39.22,11.99,-47.62,90.77,161.21,98.29
78,78,78: Right temporal pole grid 13:23 of  2,81.37,161.45,102.98,44.2,22.12,-52.76,48.45,11.06,-43.21,82.45,160.77,103.85
79,79,79: Right temporal pole grid 13:23 of  3,74.35,159.48,110.76,51.22,20.14,-44.98,56.16,8.96,-35.62,75.98,158.84,112.11
80,80,80: Right temporal pole grid 13:23 of  4,71.15,155.76,118.11,54.42,16.42,-37.63,59.85,5.51,-27.88,73.06,155.33,119.78
81,81,81: Right temporal pole grid 13:23 of  5,69.03,151.59,125.21,56.54,12.26,-30.53,62.39,1.73,-20.24,71.04,151.53,127.15
82,82,82: Right temporal pole grid 13:23 of  6,92.33,167.48,100.34,33.25,28.14,-55.41,37.84,18.07,-45.09,93.2,166.5,100.8
83,83,83: Right temporal pole grid 13:23 of  7,84.35,167.29,104.59,41.22,27.96,-51.16,46.25,17.35,-41.53,85.53,166.27,105.43
84,84,84: Right temporal pole grid 13:23 of  8,77.92,166.46,111.68,47.65,27.13,-44.07,53.41,16.41,-34.69,79.66,165.4,112.97
85,85,85: Right temporal pole grid 13:23 of  9,75.73,163.58,119.79,49.84,24.24,-35.96,56.27,13.97,-26.08,77.93,162.6,121.38
86,86,86: Right temporal pole grid 13:23 of  10,71.37,159.07,130.16,54.2,19.74,-25.58,61.39,9.86,-15.19,74.02,158.49,132.14
87,87,87: Right temporal pole grid 13:23 of  11,69.28,155.89,138.66,56.29,16.55,-17.09,64.17,7.17,-6.13,72.29,155.57,140.85
88,88,88: Right anterior insula depth  1,101.37,154.22,119.91,24.2,14.88,-35.83,29.89,7.5,-22.02,103.3,153.25,120.23
89,89,89: Right anterior insula depth  2,96.77,156.17,121.79,28.8,16.83,-33.96,34.87,9.09,-20.73,98.88,155.08,122.39
90,90,90: Right anterior insula depth  3,92.71,157.82,123.51,32.86,18.48,-32.23,39.27,10.43,-19.52,95.01,156.66,124.39
91,91,91: Right anterior insula depth  4,88.33,159.2,126.63,37.25,19.87,-29.11,44.14,11.58,-16.84,90.93,158.01,127.82
92,92,92: Right anterior insula depth  5,84.39,160.49,129.28,41.18,21.16,-26.46,48.48,12.65,-14.59,87.25,159.31,130.73
93,93,93: Right anterior insula depth  6,80.27,161.42,132.17,45.3,22.08,-23.58,53.02,13.36,-12.09,83.36,160.31,133.85
94,94,94: Right anterior insula depth  7,77,162.1,135.98,48.57,22.76,-19.76,56.78,14,-8.47,80.39,161.02,137.87
95,95,95: Right anterior insula depth  8,74.17,162.78,139.08,51.4,23.44,-16.66,60.03,14.62,-5.56,77.76,161.7,141.17
96,96,96: Right Heschls gyrus depth  1,98.93,101.17,152.86,26.64,-38.17,-2.88,31.03,-42.91,16.82,101.2,100.53,153.25
97,97,97: Right Heschls gyrus depth  2,95.67,105.9,150.99,29.91,-33.43,-4.75,34.52,-38.71,14.05,97.94,105.26,151.38
98,98,98: Right Heschls gyrus depth  3,91.97,109.45,150.08,33.6,-29.89,-5.67,38.43,-35.66,12.35,94.26,108.87,150.52
99,99,99: Right Heschls gyrus depth  4,88.64,113.34,149.67,36.93,-26,-6.08,42.07,-32.19,11.2,90.97,112.86,150.21
100,100,100: Right Heschls gyrus depth  5,86.09,116.43,147.86,39.48,-22.91,-7.89,44.69,-29.54,8.72,88.29,116.02,148.49
101,101,101: Right Heschls gyrus depth  6,82.7,120.21,147.36,42.87,-19.12,-8.38,48.37,-26.18,7.49,85,120.01,148.17
102,102,102: Right Heschls gyrus depth  7,79.32,123.55,146.58,46.25,-15.79,-9.17,51.96,-23.3,5.97,81.71,123.58,147.6
103,103,103: Right Heschls gyrus depth  8,75.89,127.28,145.92,49.68,-12.06,-9.82,55.66,-20.02,4.57,78.39,127.52,147.23
104,104,104: Right Heschls gyrus depth  9,72.75,130.45,145.11,52.82,-8.89,-10.63,58.99,-17.28,3.07,75.3,130.86,146.68
105,105,105: Right Heschls gyrus depth  10,69.6,134.99,145.05,55.97,-4.34,-10.7,62.56,-13.1,2.27,72.24,135.49,146.92
106,106,106: Right Heschls gyrus depth  11,66.56,138.84,144.66,59.01,-0.49,-11.09,65.92,-9.63,1.19,69.27,139.36,146.78
107,107,107: Right Heschls gyrus depth  12,65.07,142.19,143.26,60.5,2.86,-12.48,67.55,-6.57,-0.74,67.75,142.67,145.52
108,108,108: Right amygdala depth  1,119.3,139.7,115.77,6.28,0.37,-39.97,10.16,-5.34,-23.12,120.47,138.76,115.73
109,109,109: Right amygdala depth  2,113.85,139.46,116.76,11.73,0.12,-38.98,15.67,-6.1,-22.73,115.14,138.76,116.75
110,110,110: Right amygdala depth  3,109.28,139.22,117.78,16.3,-0.11,-37.96,20.31,-6.76,-22.2,110.57,138.76,117.76
111,111,111: Right amygdala depth  4,104.47,140.08,118.24,21.1,0.75,-37.5,25.22,-6.4,-22.38,105.74,139.76,118.27
112,112,112: Right amygdala depth  5,100.16,140.03,119.4,25.42,0.69,-36.34,29.64,-6.84,-21.68,101.42,139.76,119.54
113,113,113: Right amygdala depth  6,95.07,140.01,119.98,30.5,0.68,-35.77,34.76,-7.37,-21.71,96.34,139.76,120.3
114,114,114: Right amygdala depth  7,90.18,140,120.24,35.39,0.66,-35.5,39.65,-7.91,-22.04,91.52,139.76,120.81
115,115,115: Right amygdala depth  8,85.23,140.97,120.69,40.34,1.64,-35.06,44.72,-7.45,-22.27,86.69,140.76,121.57
116,116,116: Right posterior subfrontal strip 1,137.01,171.92,109.61,-11.44,32.59,-46.14,-5.02,28.26,-29.82,138.28,171.39,108.72
117,117,117: Right posterior subfrontal strip 2,124.58,171.51,110.27,0.99,32.17,-45.47,7.37,26.52,-30.65,126.36,170.39,109.72
118,118,118: Right posterior subfrontal strip 3,116.56,172.41,112.6,9.01,33.08,-43.14,15.7,26.72,-29.24,118.75,170.88,112.47
119,119,119: Right posterior subfrontal strip 4,108.13,172.77,116.01,17.45,33.44,-39.74,24.52,26.43,-26.69,110.66,170.88,116.38
120,120,120: Right posterior subfrontal strip 5,98.7,172.93,118.88,26.87,33.6,-36.87,34.25,25.78,-24.82,101.34,170.88,119.75
121,121,121: Right posterior subfrontal strip 6,89.98,175.1,122.73,35.59,35.76,-33.01,43.59,27.3,-21.96,92.9,172.88,124.12
122,122,122: Right posterior hippocampal depth  1,102.2,107.06,135.08,23.37,-32.28,-20.66,26.25,-38.17,-2.24,103.04,106.31,134.88
123,123,123: Right posterior hippocampal depth  2,95.44,113.59,132.81,30.14,-25.74,-22.94,33.34,-32.6,-6,95.99,112.77,132.79
124,124,124: Right posterior hippocampal depth  3,87.87,119.48,131.28,37.7,-19.86,-24.46,41.26,-27.7,-9.03,88.5,118.88,131.67
125,125,125: Right posterior hippocampal depth  4,79.61,125.28,130.43,45.96,-14.05,-25.32,49.93,-22.9,-11.41,80.78,125.32,131.4
126,126,126: Right posterior hippocampal depth  5,72.46,130.99,129.86,53.12,-8.34,-25.88,57.53,-18.05,-13.34,73.95,131.45,131.4
127,127,127: Right posterior hippocampal depth  6,66.11,138.77,129.39,59.46,-0.57,-26.36,64.53,-11.04,-15.22,67.85,139.35,131.4
129,129,129: Right temporal grid 96  1,70.34,76.95,145.02,55.23,-62.38,-10.73,56.14,-70.91,6.55,72.18,76.59,145.64
130,130,130: Right temporal grid 96  2,69.91,78.55,149.69,55.66,-60.78,-6.06,57.28,-68.97,11.38,72.17,78.27,150.52
131,131,131: Right temporal grid 96  3,69.31,80.06,154.32,56.26,-59.27,-1.43,58.58,-67.14,16.15,72.02,79.88,155.37
132,132,132: Right temporal grid 96  4,68.73,81.69,158.94,56.85,-57.64,3.19,59.87,-65.19,20.91,71.9,81.64,160.23
133,133,133: Right temporal grid 96  5,68.86,83.72,163.62,56.71,-55.61,7.87,60.49,-62.75,25.78,72.48,83.8,165.14
134,134,134: Right temporal grid 96  6,69.91,85.93,168.2,55.66,-53.41,12.46,60.21,-60.05,30.67,73.91,86.12,169.95
135,135,135: Right temporal grid 96  7,71.8,87.88,172.49,53.78,-51.45,16.74,59.04,-57.53,35.35,76.05,88.19,174.43
136,136,136: Right temporal grid 96  8,73.75,89.8,176.73,51.83,-49.53,20.98,57.79,-55.04,40,78.1,90.21,178.85
137,137,137: Right temporal grid 96  9,68.28,81.51,143.25,57.29,-57.83,-12.5,58.42,-66.74,4.07,70.18,81.36,143.91
138,138,138: Right temporal grid 96  10,67.77,83.09,147.98,57.8,-56.24,-7.77,59.65,-64.82,8.95,70.12,83.02,148.86
139,139,139: Right temporal grid 96  11,67.09,84.61,152.69,58.48,-54.72,-3.06,61.03,-62.99,13.8,69.92,84.63,153.79
140,140,140: Right temporal grid 96  12,66.64,86.17,157.31,58.94,-53.17,1.57,62.19,-61.09,18.58,69.94,86.29,158.64
141,141,141: Right temporal grid 96  13,66.75,88.02,161.97,58.82,-51.32,6.22,62.81,-58.84,23.44,70.5,88.25,163.51
142,142,142: Right temporal grid 96  14,67.96,90.29,166.64,57.62,-49.05,10.89,62.39,-56.05,28.43,72.12,90.64,168.39
143,143,143: Right temporal grid 96  15,69.96,92.61,171.11,55.61,-46.72,15.37,61.16,-53.13,33.3,74.43,93.08,173.06
144,144,144: Right temporal grid 96  16,71.92,94.83,175.51,53.66,-44.51,19.77,59.96,-50.33,38.1,76.53,95.39,177.64
145,145,145: Right temporal grid 96  17,66.15,85.81,141.34,59.42,-53.53,-14.4,60.74,-62.85,1.44,68.09,85.88,142.11
146,146,146: Right temporal grid 96  18,65.65,87.29,146.11,59.92,-52.04,-9.64,61.95,-61.03,6.37,68.05,87.42,147.08
147,147,147: Right temporal grid 96  19,65.03,88.89,150.93,60.55,-50.44,-4.82,63.3,-59.1,11.34,67.92,89.1,152.12
148,148,148: Right temporal grid 96  20,64.9,90.52,155.6,60.67,-48.82,-0.15,64.13,-57.09,16.2,68.26,90.81,156.98
149,149,149: Right temporal grid 96  21,64.98,92.31,160.32,60.59,-47.03,4.58,64.8,-54.9,21.14,68.79,92.71,161.9
150,150,150: Right temporal grid 96  22,66.09,94.63,165.11,59.48,-44.7,9.36,64.48,-52.05,26.24,70.31,95.14,166.86
151,151,151: Right temporal grid 96  23,68.01,97.06,169.47,57.56,-42.28,13.73,63.33,-49.05,30.98,72.54,97.67,171.38
152,152,152: Right temporal grid 96  24,69.65,99.4,173.98,55.93,-39.94,18.23,62.47,-46.16,35.84,74.36,100.11,176.07
153,153,153: Right temporal grid 96  25,64,89.74,139.29,61.57,-49.59,-16.45,63.01,-59.34,-1.31,65.98,90.01,140.22
154,154,154: Right temporal grid 96  26,63.47,91.17,144.07,62.1,-48.17,-11.68,64.25,-57.58,3.63,65.91,91.49,145.19
155,155,155: Right temporal grid 96  27,62.91,92.87,149,62.67,-46.47,-6.75,65.56,-55.53,8.71,65.83,93.26,150.32
156,156,156: Right temporal grid 96  28,63.18,94.8,153.81,62.39,-44.54,-1.93,66.05,-53.16,13.76,66.57,95.27,155.28
157,157,157: Right temporal grid 96  29,63.45,96.78,158.72,62.13,-42.55,2.97,66.57,-50.74,18.9,67.27,97.34,160.34
158,158,158: Right temporal grid 96  30,64.32,99.04,163.49,61.25,-40.29,7.74,66.48,-47.99,23.96,68.53,99.7,165.24
159,159,159: Right temporal grid 96  31,65.83,101.31,167.67,59.74,-38.02,11.92,65.7,-45.2,28.46,70.32,102.06,169.53
160,160,160: Right temporal grid 96  32,66.83,103.54,172.15,58.74,-35.8,16.41,65.46,-42.49,33.22,71.53,104.37,174.17
161,161,161: Right temporal grid 96  33,62.29,93.97,137.18,63.28,-45.37,-18.56,64.87,-55.5,-4.1,64.31,94.42,138.3
162,162,162: Right temporal grid 96  34,61.47,95.61,141.99,64.1,-43.72,-13.76,66.42,-53.54,0.83,63.97,96.13,143.31
163,163,163: Right temporal grid 96  35,60.9,97.35,147.01,64.68,-41.99,-8.73,67.76,-51.45,6.01,63.88,97.94,148.52
164,164,164: Right temporal grid 96  36,61.31,99.37,151.96,64.27,-39.96,-3.79,68.14,-48.97,11.21,64.72,100.02,153.57
165,165,165: Right temporal grid 96  37,61.78,101.36,156.92,63.8,-37.97,1.18,68.46,-46.51,16.44,65.58,102.07,158.62
166,166,166: Right temporal grid 96  38,62.78,103.52,161.58,62.79,-35.81,5.84,68.23,-43.85,21.4,66.92,104.3,163.34
167,167,167: Right temporal grid 96  39,64.22,105.84,165.85,61.35,-33.5,10.11,67.53,-41.02,25.98,68.63,106.68,167.66
168,168,168: Right temporal grid 96  40,65.06,108.07,170.29,60.51,-31.27,14.54,67.44,-38.33,30.67,69.69,108.97,172.2
169,169,169: Right temporal grid 96  41,61.62,98.57,135.05,63.96,-40.77,-20.7,65.74,-51.16,-6.8,63.62,99.18,136.36
170,170,170: Right temporal grid 96  42,60.82,100.42,139.84,64.75,-38.91,-15.91,67.28,-49,-1.91,63.34,101.11,141.36
171,171,171: Right temporal grid 96  43,60.4,102.13,144.85,65.17,-37.21,-10.89,68.47,-46.92,3.29,63.4,102.88,146.52
172,172,172: Right temporal grid 96  44,60.43,104.07,149.95,65.14,-35.27,-5.79,69.23,-44.55,8.61,63.83,104.85,151.69
173,173,173: Right temporal grid 96  45,60.29,105.95,155.1,65.28,-33.39,-0.65,70.16,-42.26,13.96,64.06,106.77,156.89
174,174,174: Right temporal grid 96  46,61.36,108.09,159.77,64.21,-31.25,4.02,69.87,-39.61,18.94,65.42,108.95,161.55
175,175,175: Right temporal grid 96  47,63.32,110.56,164.09,62.25,-28.78,8.35,68.68,-36.56,23.64,67.61,111.44,165.84
176,176,176: Right temporal grid 96  48,64.47,113,168.44,61.11,-26.34,12.69,68.3,-33.64,28.26,68.97,113.9,170.22
177,177,177: Right temporal grid 96  49,61,102.94,133.01,64.57,-36.39,-22.73,66.54,-47.04,-9.38,63,103.69,134.51
178,178,178: Right temporal grid 96  50,60.42,104.88,137.87,65.15,-34.46,-17.87,67.88,-44.77,-4.39,62.98,105.71,139.6
179,179,179: Right temporal grid 96  51,59.85,106.63,142.92,65.72,-32.71,-12.82,69.22,-42.66,0.82,62.89,107.52,144.79
180,180,180: Right temporal grid 96  52,59.39,108.53,148.08,66.19,-30.8,-7.66,70.48,-40.37,6.15,62.79,109.43,149.98
181,181,181: Right temporal grid 96  53,59,110.45,153.14,66.57,-28.89,-2.61,71.66,-38.08,11.37,62.7,111.35,155.04
182,182,182: Right temporal grid 96  54,60.15,112.69,157.74,65.43,-26.65,1.99,71.28,-35.33,16.28,64.09,113.59,159.58
183,183,183: Right temporal grid 96  55,62.74,115.19,162.45,62.83,-24.15,6.7,69.51,-32.15,21.47,66.91,116.07,164.16
184,184,184: Right temporal grid 96  56,64,117.89,166.61,61.57,-21.45,10.86,69.02,-28.96,25.89,68.36,118.74,168.3
185,185,185: Right temporal grid 96  57,59.58,106.87,131.06,66,-32.47,-24.68,68.11,-43.45,-11.93,61.58,107.7,132.73
186,186,186: Right temporal grid 96  58,58.93,108.89,136,66.64,-30.44,-19.74,69.54,-41.08,-6.87,61.5,109.83,137.92
187,187,187: Right temporal grid 96  59,58.24,111.16,141.11,67.33,-28.18,-14.63,71.05,-38.47,-1.65,61.32,112.16,143.18
188,188,188: Right temporal grid 96  60,58.05,113.28,146.14,67.53,-26.06,-9.61,72.05,-35.95,3.55,61.39,114.25,148.19
189,189,189: Right temporal grid 96  61,58.44,115.19,150.79,67.13,-24.15,-4.95,72.39,-33.61,8.45,62.01,116.12,152.78
190,190,190: Right temporal grid 96  62,59.68,117.36,155.34,65.89,-21.97,-0.4,71.92,-30.92,13.32,63.46,118.26,157.24
191,191,191: Right temporal grid 96  63,62.19,119.76,160.24,63.38,-19.58,4.49,70.24,-27.84,18.7,66.2,120.59,161.98
192,192,192: Right temporal grid 96  64,63.85,122.27,164.43,61.72,-17.07,8.69,69.34,-24.8,23.22,68.05,123.02,166.11
193,193,193: Right temporal grid 96  65,58.02,111.07,129.1,67.55,-28.26,-26.64,69.83,-39.59,-14.53,60,111.95,130.9
194,194,194: Right temporal grid 96  66,57.39,113.19,134.08,68.18,-26.14,-21.66,71.26,-37.13,-9.43,59.86,114.15,136.09
195,195,195: Right temporal grid 96  67,56.9,115.81,139.18,68.68,-23.53,-16.56,72.61,-34.14,-4.22,59.8,116.8,141.33
196,196,196: Right temporal grid 96  68,57.07,118.09,144.03,68.5,-21.25,-11.72,73.23,-31.44,0.82,60.25,119.06,146.17
197,197,197: Right temporal grid 96  69,58.07,119.95,148.44,67.5,-19.38,-7.31,72.95,-29.1,5.53,61.45,120.87,150.51
198,198,198: Right temporal grid 96  70,59.5,122.02,152.88,66.08,-17.31,-2.86,72.27,-26.5,10.32,63.09,122.88,154.86
199,199,199: Right temporal grid 96  71,61.4,124.47,157.63,64.17,-14.87,1.89,71.18,-23.45,15.47,65.23,125.23,159.49
200,200,200: Right temporal grid 96  72,63.54,126.78,162.01,62.03,-12.56,6.27,69.8,-20.53,20.26,67.59,127.42,163.78
201,201,201: Right temporal grid 96  73,56.86,115.92,127.07,68.71,-23.41,-28.67,71.22,-35.06,-17.21,58.79,116.79,128.94
202,202,202: Right temporal grid 96  74,56.41,118.13,131.99,69.16,-21.2,-23.75,72.47,-32.48,-12.16,58.73,119.06,134.04
203,203,203: Right temporal grid 96  75,56.3,120.53,136.91,69.27,-18.8,-18.84,73.4,-29.69,-7.08,58.96,121.48,139.07
