Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
1,1,1: Right anterior subfrontal strip 1,127.53,199.8,114.38,-1.96,60.46,-41.36,7.69,55.41,-27.94,128.91,197.84,114.62
2,2,2: Right anterior subfrontal strip 2,118.99,200.97,121.2,6.58,61.64,-34.54,17.11,56.21,-21.8,121.49,197.65,122.08
3,3,3: Right anterior subfrontal strip 3,110.45,201.47,126.84,15.12,62.13,-28.91,26.31,56.22,-16.89,113.6,197.29,128.04
4,4,4: Right anterior subfrontal strip 4,101.39,202.57,131.04,24.18,63.23,-24.71,35.92,56.67,-13.62,104.84,198.12,132.6
7,7,7: Right middle subfrontal strip 1,98.08,184.66,123.39,27.49,45.32,-32.36,36.55,37.79,-20.92,101.44,181.6,124.77
8,8,8: Right middle subfrontal strip 2,106.48,183.72,119.46,19.1,44.39,-36.28,27.65,37.46,-24,109.62,180.95,120.4
9,9,9: Right middle subfrontal strip 3,114.15,183.26,115.54,11.43,43.93,-40.2,19.51,37.52,-27.19,116.85,180.96,116
10,10,10: Right middle subfrontal strip 4,123.97,181.81,109.87,1.6,42.47,-45.88,8.94,36.69,-31.91,125.79,180.37,109.66
11,11,11: Right posterior subtemporal strip 1,99.18,106.17,117.15,26.4,-33.16,-38.6,27.03,-40.9,-21.76,99.35,106.01,116.47
12,12,12: Right posterior subtemporal strip 2,91.2,107.94,113.74,34.37,-31.39,-42,34.73,-40.32,-26.55,91.37,107.98,113.19
13,13,13: Right posterior subtemporal strip 3,80.4,110.63,112.58,45.17,-28.7,-43.16,45.58,-38.93,-29.35,80.73,110.92,112.59
14,14,14: Right posterior subtemporal strip 4,70.86,113.12,112.63,54.72,-26.22,-43.11,55.32,-37.51,-30.69,71.47,113.64,113.3
15,15,15: Right anterior suboccipital strip  1,103.17,97.32,120.57,22.4,-42.01,-35.17,22.6,-49,-16.94,103.36,97.08,119.82
16,16,16: Right anterior suboccipital strip  2,94.81,98.48,115.98,30.76,-40.85,-39.76,30.48,-49.16,-23,94.82,98.46,115.17
17,17,17: Right anterior suboccipital strip  3,84.08,99.35,112.64,41.49,-39.98,-43.11,40.83,-49.77,-28.01,84.11,99.55,112.1
18,18,18: Right anterior suboccipital strip  4,75.34,100.76,111.86,50.24,-38.57,-43.88,49.56,-49.4,-30.04,75.54,101.14,111.84
23,23,23: Right parahippocampal gyrus strip  1,105.27,109.62,119.99,20.3,-29.72,-35.75,21.65,-36.55,-18.19,105.61,109.32,119.4
24,24,24: Right parahippocampal gyrus strip  2,105.02,117.86,116.28,20.55,-21.48,-39.46,22.27,-28.67,-22.8,105.44,117.67,115.8
25,25,25: Right parahippocampal gyrus strip  3,104.36,127.31,111.97,21.21,-12.02,-43.77,23.34,-19.68,-28.18,104.98,127.18,111.71
26,26,26: Right parahippocampal gyrus strip  4,104.23,136.41,106.85,21.35,-2.93,-48.9,23.75,-11.05,-34.35,104.98,136.24,106.71
27,27,27: Right parahippocampal gyrus strip  5,104.85,144.45,102.19,20.72,5.11,-53.55,23.36,-3.35,-39.84,105.65,144.19,102.09
